Full Name,ID Number,Manager ID,Gender,Birthday,Role,Full time/Part time/Contract,Country,Department,Grade,Current Salary,Current Bonus,Pension,Email Address,NI or Tax number,Other Unique Identifier,Ethnicity,FTE,Start Date,Leave Date,Current Employee,Area,How recruited,Relocation costs,Recruitment cost,Reason for leaving,Cost of termination,Ccy,Healthcare costs,Other benefits,Expenses,Share based payments,Performance Ranking,Engagement index,Absence Days,Absence Type,Bradford Index,Training Cost,Training Day,Successor,Total payroll cost,Total benefits,Payroll taxes,Total annual compensation,Monthly cost Including payroll taxes,Age,Tenure Years,Years to retirement,Sales targets,Span of Control,Absence detail,Team Engagement,Customer Satisfaction,Team Performance,Personal Performance,Role Start Date,Prior period performance ranking,Absence Instances
Jose Ruiz,652,777,male,05/12/1985,Delivery Grade 1,Full time,UK,Projects,3,26554,0,531,Jose.Ruiz@realco.com,EE215832G,,,1,30/05/2010,,Y,Manchester,Agency,,9000,,,GBP,1000,0,10884.02,0,9.3,7.53,0,Sickness,-,,,,26554,1531,3691,31776,3555,35.3,2.39,29.71,node.links.from.budget,0,Back pain,NaN,,,,02/10/2012,8.37,0
Chester Young,752,777,male,14/10/1958,Delivery Grade 3,Full time,UK,Projects,4,55724,4763,1114,Chester.Young@realco.com,FJ346577B,,,1,02/08/2007,,Y,Manchester,Internal,,0,,,GBP,2000,0,9000,0,9.4,7.01,0,,-,,,,60487,3114,8408,72009,6751,51.18,5.22,13.83,node.links.from.budget,0,,NaN,,,,20/01/2012,10,0
Phoebe Akhtar,802,127,female,28/03/1953,Delivery Grade 4,Full time,UK,Projects,5,68540,9270,2056,Phoebe.Akhtar@realco.com,GA953613F,,,1,16/05/2011,,Y,Manchester,Agency,,9900,,,GBP,2500,0,9000,0,7,7.36,4,Sickness,4,,,No,77810,4556,10816,93182,8515,60.81,1.43,4.19,node.links.from.budget,4,Back pain,6.725,8,1,,16/05/2011,5.25,1
Sharon Torrez,227,802,female,09/10/1953,Delivery Grade 1,Full time,UK,Projects,2,32566,0,651,Sharon.Torrez@realco.com,AG413624D,,,1,08/05/2007,,Y,Manchester,Agency,,6300,,,GBP,1000,0,9000,0,8.3,6.86,8,Sickness,200,,,,32566,1651,4527,38744,3979,31.26,5.45,33.74,node.links.from.budget,0,Upper limb,NaN,,,,10/01/2011,6.225,5
Rachel Lang,302,802,female,30/03/1988,Delivery Grade 1,Full time,UK,Projects,2,34173,0,683,Rachel.Lang@realco.com,FH784532D,,,1,12/06/2009,31/05/2010,N,Manchester,Advert,,500,Redundancy,6000,GBP,750,0,9000,0,3.7,6.15,10,Sickness,250,,,,34173,1433,4750,40357,4113,20.15,0.97,44.85,node.links.from.budget,0,Upper limb,NaN,,,,22/01/2012,4.625,5
David Esquivel,477,802,male,20/05/1984,Delivery Grade 2,Full time,UK,Projects,3,46537,3590,931,David.Esquivel@realco.com,BB196657H,,,1,13/11/2009,,Y,Manchester,Agency,,7950,,,GBP,1000,0,10929.11,0,7.5,6.43,0,Sickness,-,,,,50127,1931,6968,59025,5830,37.5,2.93,27.51,node.links.from.budget,0,Back pain,NaN,,,,25/05/2011,5.625,0
Karl Redington,827,802,male,11/08/1959,Delivery Grade 3,Full time,UK,Projects,4,52335,4311,1047,Karl.Redington@realco.com,CA784357A,,,1,02/11/2007,,Y,Manchester,Agency,,9750,,,GBP,2000,0,9000,0,6.9,7.46,0,,-,,,,56646,3047,7874,67567,6381,57.41,4.96,7.59,node.links.from.budget,0,,NaN,,,,10/01/2011,6.9,0
Ellis McDonald,852,127,male,26/06/1958,Delivery Grade 1,Full time,UK,Projects,2,32198,0,644,Ellis.McDonald@realco.com,DC154866A,,,1,30/05/2008,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,7.8,7.35,8,Sickness,200,,,No,32198,1644,4476,38317,3943,30.85,4.39,34.15,node.links.from.budget,4,Back pain,6.47,7.7,1,,10/01/2011,7.02,5
Robert Mills,402,852,male,10/11/1955,Delivery Grade 3,Full time,UK,Projects,4,52471,4329,1049,Robert.Mills@realco.com,FF758352I,,,1,17/06/2009,,Y,Manchester,Agency,,9300,,,GBP,2000,0,9918.71,0,4.3,6.61,9,,225,,,,56801,3049,7895,67745,6472,52.18,3.34,12.82,node.links.from.budget,0,,NaN,,,,20/08/2011,4.3,5
Aaron Hurst,552,852,male,26/04/1986,Delivery Grade 1,Full time,UK,Projects,2,26325,0,527,Aaron.Hurst@realco.com,HB880449F,,,1,04/02/2012,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,5.5,5.65,8,,128,,,,26325,1277,3659,31261,3355,26.07,0.7,38.93,node.links.from.budget,0,,NaN,,,,04/02/2012,5.5,4
Morgan Bray,627,852,male,15/11/1962,Delivery Grade 2,Full time,UK,Projects,3,46326,3554,927,Morgan.Bray@realco.com,FH99464H,,,1,13/02/2011,,Y,Manchester,Agency,,9450,,,GBP,1500,0,9420.89,0,5.1,6,7,,28,,,,49880,2427,6933,59240,5722,40.56,1.68,24.44,node.links.from.budget,0,,NaN,,,,13/02/2011,4.59,2
Frank Curry,727,852,male,07/04/1988,Delivery Grade 1,Full time,UK,Projects,2,26817,0,536,Frank.Curry@realco.com,GF866919G,,,1,17/06/2010,,Y,Manchester,Agency,,9450,,,GBP,750,0,9000,0,9.1,7.62,3,,3,,,,26817,1286,3728,31831,3403,22.96,2.34,42.05,node.links.from.budget,0,,NaN,,,,30/04/2012,10,1
Mason Wallis,877,127,male,20/10/1983,Delivery Grade 3,Full time,UK,Projects,4,60676,5423,1214,Mason.Wallis@realco.com,DI236869A,,,1,28/12/2011,,Y,Manchester,Agency,,9150,,,GBP,2000,0,9000,0,7.4,7.43,0,,-,,,Yes,66099,3214,9188,78500,7292,50.89,0.81,14.11,node.links.from.budget,4,,6.485,7.5,0,,28/12/2011,5.55,0
Victor Hamilton,202,877,male,12/03/1952,Delivery Grade 1,Full time,UK,Projects,2,25138,0,503,Victor.Hamilton@realco.com,AH194147A,,,1,19/02/2007,,Y,Manchester,Agency,,6150,,,GBP,1000,0,9000,0,4.6,6.64,8,,200,,,,25138,1503,3494,30135,3261,33.45,5.67,31.55,node.links.from.budget,0,,NaN,,,,12/02/2012,5.43,5
James Green,327,877,male,25/10/1986,Delivery Grade 2,Full time,UK,Projects,3,52821,4637,1056,James.Green@realco.com,DB485051H,,,1,10/03/2009,,Y,Manchester,Internal,0,0,,,GBP,1000,0,9684.5,0,4,6.9,6,,6,,,,57458,2056,7987,67501,6432,39.81,3.61,25.2,node.links.from.budget,0,,NaN,,,,07/06/2011,5,1
Melissa Gardiner,902,877,female,02/12/1960,Delivery Grade 3,Full time,UK,Projects,4,57353,4980,1147,Melissa.Gardiner@realco.com,HE809326E,,,1,24/01/2009,,Y,Manchester,Internal,,0,,,GBP,1500,0,9000,0,4.6,6.64,0,Sickness,-,,,,62333,2647,8664,73645,6887,48.8,3.73,16.2,node.links.from.budget,0,Asthma,NaN,,,,18/01/2012,3.45,0
Bailey Butler,927,877,male,20/02/1964,Delivery Grade 1,Full time,UK,Projects,2,32812,0,656,Bailey.Butler@realco.com,IB18392F,,,1,08/09/2011,,Y,Manchester,Agency,,9300,,,GBP,750,0,9000,0,4.7,5.76,9,,441,,,,32812,1406,4561,38779,3982,24.82,1.11,40.18,node.links.from.budget,0,,NaN,,,,08/09/2011,4.7,7
Joseph Johnson,952,127,male,04/03/1984,Delivery Grade 3,Full time,UK,Projects,4,57465,4995,1149,Joseph.Johnson@realco.com,IG318679D,,,1,26/10/2009,,Y,Manchester,Agency,,10200,,,GBP,1500,0,9000,0,7.4,6.34,6,,54,,,No,62461,2649,8682,73792,6899,45.38,2.98,19.62,node.links.from.budget,3,,7.153333333,7.9,6,,10/01/2011,9.25,3
Joshua Tomlinson,252,952,male,04/02/1989,Delivery Grade 1,Full time,UK,Projects,2,27596,0,552,Joshua.Tomlinson@realco.com,DC798212E,,,1,09/08/2012,,Y,Manchester,Internal,0,0,,,GBP,500,0,9000,0,7.1,6.94,7,,112,,,,27596,1052,3836,32483,3457,18.43,0.19,46.58,node.links.from.budget,0,,NaN,,,,09/08/2012,8.875,4
Charles Parry,677,952,male,21/09/1962,Delivery Grade 1,Full time,UK,Projects,2,33451,0,669,Charles.Parry@realco.com,JB127102G,,,1,02/01/2009,22/01/2010,N,Manchester,Advert,,500,Performance,,GBP,1000,0,9000,0,8.1,7.3,7,,112,,,,33451,1669,4650,39769,4064,33.16,1.05,31.84,node.links.from.budget,0,,NaN,,,,21/12/2011,8.1,4
Bradley Armstrong,702,952,male,12/10/1988,Delivery Grade 1,Full time,UK,Projects,2,32169,0,643,Bradley.Armstrong@realco.com,AC470101H,,,1,06/04/2011,,Y,Manchester,Internal,0,0,,,GBP,750,0,9000,0,5.5,7.22,0,,-,,,,32169,1393,4471,38034,3919,21.55,1.54,43.45,node.links.from.budget,0,,NaN,,,,06/04/2011,5.5,0
Elizabeth Lawing,977,127,female,05/08/1959,Delivery Grade 2,Full time,UK,Projects,3,48409,3902,968,Elizabeth.Lawing@realco.com,DH295336F,,,1,19/06/2007,,Y,Manchester,Internal,0,0,,,GBP,1500,0,9000,0,8.5,7.25,0,,-,,,Yes,52311,2468,7271,62050,5921,44.21,5.34,20.79,node.links.from.budget,3,,6.9,7.1,2,,10/01/2011,10,0
Diane Smith,152,977,female,22/11/1963,Delivery Grade 1,Full time,UK,Projects,2,31632,0,633,Diane.Smith@realco.com,AJ954550B,,,1,22/05/2007,,Y,Manchester,Advert,,500,,,GBP,1000,0,9639.33,0,8.5,7.05,8,Sickness,200,,,,31632,1633,4397,37661,3942,31.61,5.41,33.4,node.links.from.budget,0,Dermatitis,NaN,,,,13/12/2012,8.5,5
Riley Russell,377,977,male,14/03/1984,Delivery Grade 3,Full time,UK,Projects,4,62893,5719,1258,Riley.Russell@realco.com,DG103965I,,,1,28/03/2009,,Y,Manchester,Agency,,7650,,,GBP,1500,0,9000,0,5.6,6.45,8,,72,,,,68612,2758,9537,80907,7492,45.86,3.56,19.14,node.links.from.budget,0,,NaN,,,,10/01/2011,5.6,3
Dorothy Hart,1002,977,female,29/06/1983,Delivery Grade 3,Full time,UK,Projects,4,55675,4757,1113,Dorothy.Hart@realco.com,GI112154I,,,1,02/06/2009,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,7.5,7.2,0,Sickness,-,,,,60431,3113,8400,71945,6745,56.51,3.38,8.5,node.links.from.budget,0,Upper limb,NaN,,,,24/11/2011,7.5,0
Tom Harrison,1027,127,male,30/06/1963,Delivery Grade 1,Full time,UK,Projects,2,27133,0,543,Tom.Harrison@realco.com,BD113150C,,,1,13/05/2012,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,8,7.09,5,Sickness,45,,,,27133,1293,3771,32197,3433,26.11,0.43,38.89,node.links.from.budget,0,Stress,NaN,,,,13/05/2012,6,3
Isaac Foster,1052,127,male,22/08/1983,Delivery Grade 2,Full time,UK,Projects,3,48869,3978,977,Isaac.Foster@realco.com,IA75184G,,,1,08/02/2009,,Y,Manchester,Agency,,10050,,,GBP,1000,0,9000,0,2.3,5.67,9,,144,,,,52847,1977,7346,62170,5931,35.82,3.69,29.19,node.links.from.budget,0,,NaN,,,,10/01/2011,2.3,4
Madison Williams,1077,127,female,14/12/1958,Delivery Grade 3,Full time,UK,Projects,3,58901,5187,1178,Madison.Williams@realco.com,EG405047I,,,1,30/11/2008,,Y,Manchester,Internal,0,0,,,GBP,1500,0,11052.83,0,5.4,7.07,5,,45,,,,64087,2678,8908,75674,7227,43.98,3.88,21.03,node.links.from.budget,0,,NaN,,,,11/08/2012,5.4,3
Nathan Harding,1102,127,male,23/02/1957,Delivery Grade 4,Full time,UK,Projects,5,67395,8697,2022,Nathan.Harding@realco.com,GC858383F,,,1,29/05/2011,,Y,Manchester,Agency,,9450,,,GBP,2500,0,9000,0,0.3,5.35,9,,144,,,No,76092,4522,10577,91191,8349,65.28,1.39,-0.27,node.links.from.budget,2,,6.29,4.9,4,,29/05/2011,2,4
Kevin Mason,427,1102,male,11/02/1984,Delivery Grade 3,Full time,UK,Projects,4,51146,4153,1023,Kevin.Mason@realco.com,IG41819F,,,1,05/08/2012,05/09/2012,N,Manchester,Advert,,500,Performance,,GBP,2000,0,11436.2,0,3.2,6.59,10,,250,,,,55299,3023,7687,66008,6454,58.47,0.08,6.53,node.links.from.budget,0,,NaN,,,,09/12/2012,4,5
Richard Garcia,577,1102,male,12/03/1957,Delivery Grade 4,Full time,UK,Projects,5,63338,6669,1900,Richard.Garcia@realco.com,CI941692A,,,1,09/12/2011,,Y,Manchester,Agency,,8250,,,GBP,2500,0,9000,0,2.5,5.99,6,,6,,,,70007,4400,9731,84138,7761,60.87,0.86,4.13,node.links.from.budget,0,,NaN,,,,09/12/2011,2.5,1
Violet Croy,136,109,female,09/08/1982,Project Manager,Full time,UK,Projects,5,27500,27500,1375,Violet.Croy@realco.com,IF386667H,,,1,22/02/2008,,Y,Manchester,Agency,,11250,,,GBP,500,500,18000,0,7.3,7.08,8,,200,,,Yes,55000,2375,7645,65020,6918,18.15,4.66,46.85,node.links.from.budget,10,,6.565,8.3,2,,10/01/2011,9.125,5
Lisa Berry,786,136,female,30/09/1986,Delivery Grade 1,Full time,UK,Projects,2,28148,0,563,Lisa.Berry@realco.com,DC926027F,,,1,21/06/2009,,Y,Manchester,Agency,,10500,,,GBP,750,0,9000,0,5.7,6.57,4,,4,,,No,28148,1313,3913,33374,3531,27.62,3.33,37.38,node.links.from.budget,7,,5.941428571,5.8,5,,11/05/2012,4.275,1
John Swift,186,786,male,25/10/1986,Delivery Grade 1,Full time,UK,Projects,2,26094,0,522,John.Swift@realco.com,BC170469D,,,1,16/03/2008,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,0.8,5.38,7,,63,,,,26094,1272,3627,30993,3333,23.48,4.59,41.52,node.links.from.budget,0,,NaN,,,,16/11/2012,2,3
Harley Sanderson,311,786,male,18/07/1955,Delivery Grade 1,Full time,UK,Projects,2,29317,0,586,Harley.Sanderson@realco.com,IG423373D,,,1,28/11/2009,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,0.8,5.54,10,,360,,,,29317,1586,4075,34978,3665,31.43,2.89,33.57,node.links.from.budget,0,,NaN,,,,10/01/2011,2,6
Logan Bennett,536,786,male,06/08/1984,Delivery Grade 4,Contract,UK,Projects,5,63319,6660,1900,Logan.Bennett@realco.com,EA592975A,,,1,20/08/2007,,Y,Manchester,Agency,,8700,,,GBP,2500,0,9000,0,0.1,6.12,0,,-,,,,69979,4400,9727,84105,7759,62.84,5.17,2.16,node.links.from.budget,0,,NaN,,,,10/01/2011,2,0
William Kron,561,786,male,08/04/1984,Delivery Grade 3,Full time,UK,Projects,4,60978,5464,1220,William.Kron@realco.com,AI979640G,,,1,17/10/2010,,Y,Manchester,Advert,,500,,,GBP,1500,0,11115.25,0,1.2,6.09,9,,225,,,,66441,2720,9235,78396,7459,45.99,2.01,19.01,node.links.from.budget,0,,NaN,,,,24/04/2012,2,5
Leonard Williams,586,786,male,17/11/1952,Delivery Grade 1,Full time,UK,Projects,2,27617,0,552,Leonard.Williams@realco.com,CF672751D,,,1,26/09/2010,,Y,Manchester,Agency,,8550,,,GBP,500,0,11075.4,0,0.6,5.72,10,Sickness,360,,,,27617,1052,3839,32508,3632,19.63,2.06,45.38,node.links.from.budget,0,Stress,NaN,,,,31/01/2011,2,6
Eric Edwards,611,786,male,31/12/1957,Delivery Grade 2,Full time,UK,Projects,2,46319,3553,926,Eric.Edwards@realco.com,GG930980F,,,1,16/02/2009,,Y,Manchester,Internal,,0,,,GBP,1000,0,9000,0,1.7,5.6,7,,28,,,,49872,1926,6932,58731,5644,33.96,3.67,31.04,node.links.from.budget,0,,NaN,,,,10/01/2011,2,2
Elise Carpenter,761,786,female,28/04/1963,Delivery Grade 1,Full time,UK,Projects,2,34762,0,695,Elise.Carpenter@realco.com,DE4829H,,,1,29/03/2009,,Y,Manchester,Advert,,500,,,GBP,1000,0,11309.94,0,9,7.14,5,,45,,,,34762,1695,4832,41290,4383,31.89,3.56,33.11,node.links.from.budget,0,,NaN,,,,10/01/2011,6.75,3
Joel Jones,811,136,male,03/12/1962,Delivery Grade 1,Full time,UK,Projects,2,33911,0,678,Joel.Jones@realco.com,BC209922B,,,1,31/01/2007,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,7.4,6.72,7,Sickness,112,,,,33911,1428,4714,40053,4088,29.52,5.72,35.48,node.links.from.budget,4,Dermatitis,6.7375,,,,21/12/2011,9.25,4
Theresa Nelson,161,811,female,05/08/1985,Delivery Grade 2,Full time,UK,Projects,3,49138,4023,983,Theresa.Nelson@realco.com,FB737137I,,,1,23/02/2009,,Y,Manchester,Agency,,4050,,,GBP,1000,0,9000,0,8.9,6.88,0,,-,,,,53161,1983,7389,62533,5961,35.26,3.65,29.75,node.links.from.budget,0,,NaN,,,,10/01/2011,10,0
Maddison Little,236,811,female,17/09/1984,Delivery Grade 3,Full time,UK,Projects,4,58803,5174,1176,Maddison.Little@realco.com,FD980024D,,,1,01/12/2009,,Y,Manchester,Internal,,0,,,GBP,2000,0,9000,0,5.1,6.98,8,,200,,,,63977,3176,8893,76046,7087,52.01,2.88,13,node.links.from.budget,0,,NaN,,,,10/01/2011,3.825,5
Cristy Abney,336,811,female,10/03/1989,Delivery Grade 1,Full time,UK,Projects,2,28826,0,577,Cristy.Abney@realco.com,ED2898B,,,1,19/09/2011,,Y,Manchester,Advert,,500,,,GBP,500,0,11435.43,0,6.3,6.21,9,,225,,,,28826,1077,4007,33909,3779,18.78,1.08,46.22,node.links.from.budget,0,,NaN,,,,19/09/2011,5.67,5
Claudia Mayfield,361,811,female,04/08/1954,Delivery Grade 2,Full time,UK,Projects,3,42551,2925,851,Claudia.Mayfield@realco.com,IG811626H,,,1,20/02/2012,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,8,6.88,5,,20,,,,45476,2351,6321,54148,5262,43.85,0.66,21.15,node.links.from.budget,0,,NaN,,,,20/02/2012,6,2
Ella Fry,836,136,female,27/06/1984,Delivery Grade 2,Full time,UK,Projects,3,53041,4673,1061,Ella.Fry@realco.com,DE976507I,,,1,01/08/2010,23/03/2011,N,Manchester,Agency,,9750,Career Development,,GBP,1500,0,10354.34,0,7.1,6.57,0,,-,,,,57714,2561,8022,68297,6554,44.38,0.64,20.63,node.links.from.budget,0,,NaN,,,,20/05/2012,7.1,0
Robert Cook,861,136,male,05/12/1956,Delivery Grade 1,Full time,UK,Projects,2,32094,0,642,Robert.Cook@realco.com,BG191058E,,,1,02/02/2011,,Y,Manchester,Advert,,500,,,GBP,750,0,9604.73,0,5.6,6.66,6,,24,,,,32094,1392,4461,37947,3963,23.18,1.71,41.82,node.links.from.budget,0,,NaN,,,,02/02/2011,5.6,2
Caitlin Francis,886,136,female,22/08/1959,Delivery Grade 4,Full time,UK,Projects,5,61405,5702,1842,Caitlin.Francis@realco.com,AF213212G,,,1,12/01/2008,,Y,Manchester,Agency,,10350,,,GBP,2500,0,9000,0,4.5,6.65,6,Sickness,6,,,,67107,4342,9328,80777,7481,60.98,4.77,4.02,node.links.from.budget,0,Back pain,NaN,,,,10/01/2011,5.625,1
Thomas Carroll,911,136,male,30/08/1962,Delivery Grade 1,Full time,UK,Projects,2,33312,0,666,Thomas.Carroll@realco.com,DG713477B,,,1,15/09/2011,,Y,Manchester,Advert,,500,,,GBP,750,0,9176.73,0,6.8,7.27,0,Sickness,-,,,,33312,1416,4630,39359,4045,29.06,1.09,35.94,node.links.from.budget,0,Injury,NaN,,,,15/09/2011,6.8,0
James Dean,936,136,male,23/06/1964,Delivery Grade 1,Full time,UK,Projects,2,34634,0,693,James.Dean@realco.com,AF177364H,,,1,14/08/2007,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,8.2,5.89,4,,4,,,Yes,34634,1443,4814,40891,4158,24.07,5.18,40.93,node.links.from.budget,6,,6.526666667,7.3,0,,10/01/2011,6.15,1
Richard Molnar,211,936,male,15/11/1986,Delivery Grade 2,Full time,UK,Projects,3,45612,3435,912,Richard.Molnar@realco.com,AG61071C,,,1,04/06/2012,,Y,Manchester,Agency,,7350,,,GBP,1500,0,9000,0,4.3,5.61,9,,441,,,,49047,2412,6818,58277,5606,42.26,0.37,22.75,node.links.from.budget,0,,NaN,,,,04/06/2012,4.3,7
Daisy Goodwin,386,936,female,19/05/1984,Delivery Grade 1,Full time,UK,Projects,2,27529,0,551,Daisy.Goodwin@realco.com,AD865474A,,,1,06/09/2011,,Y,Manchester,Internal,0,0,,,GBP,750,0,9000,0,5,6.25,7,,175,,,,27529,1301,3826,32656,3471,20.29,1.12,44.71,node.links.from.budget,0,,NaN,,,,06/09/2011,6.25,5
Luca Metcalfe,411,936,male,21/05/1983,Delivery Grade 2,Full time,UK,Projects,3,40403,2567,808,Luca.Metcalfe@realco.com,JI380827A,,,1,28/11/2010,,Y,Manchester,Agency,,9000,,,GBP,1000,0,9000,0,4.1,6.83,7,,112,,,,42970,1808,5973,50751,4979,38.96,1.89,26.04,node.links.from.budget,0,,NaN,,,,11/08/2011,5.125,4
Joseph Murray,436,936,male,01/07/1953,Delivery Grade 2,Full time,UK,Projects,3,47403,3734,948,Joseph.Murray@realco.com,EA798186G,,,1,12/11/2006,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,5.4,6.18,4,,16,,,,51136,2448,7108,60692,5808,44.42,5.94,20.58,node.links.from.budget,0,,NaN,,,,10/01/2011,5.4,2
Jorge Vidal,461,936,male,17/09/1983,Delivery Grade 2,Full time,UK,Projects,3,48740,3957,975,Jorge.Vidal@realco.com,EE223793F,,,1,26/05/2010,,Y,Manchester,Agency,,8400,,,GBP,1500,0,9000,0,5.6,7.27,6,,96,,,,52696,2475,7325,62496,5958,41.79,2.4,23.21,node.links.from.budget,0,,NaN,,,,04/08/2012,4.2,4
Zachary Rogers,486,936,male,24/11/1985,Delivery Grade 3,Full time,UK,Projects,4,64500,5933,1290,Zachary.Rogers@realco.com,FG282072J,,,1,16/03/2011,,Y,Manchester,Internal,,0,,,GBP,2000,0,9000,0,6.5,7.02,5,,5,,,,70434,3290,9790,83514,7710,53.44,1.59,11.56,node.links.from.budget,0,,NaN,,,,16/03/2011,6.5,1
Jaime Richardson,961,136,male,02/08/1986,Delivery Grade 1,Full time,UK,Projects,2,29985,0,600,Jaime.Richardson@realco.com,DJ254066H,,,1,01/08/2011,,Y,Manchester,Agency,,9750,,,GBP,1000,0,9000,0,6.2,7.02,0,,-,,,Yes,29985,1600,4168,35753,3729,34.97,1.22,30.04,node.links.from.budget,4,,6.505,5.9,1,,01/08/2011,6.2,0
Hayden Higgins,261,961,male,23/01/1989,Delivery Grade 1,Full time,UK,Projects,2,27556,0,551,Hayden.Higgins@realco.com,IB972311A,,,1,16/05/2008,,Y,Manchester,Advert,,500,,,GBP,750,0,11136.17,0,4.3,6.63,8,,72,,,,27556,1301,3830,32688,3652,25.44,4.43,39.56,node.links.from.budget,0,,NaN,,,,10/01/2011,5.375,3
Alex Foster,286,961,male,13/09/1986,Delivery Grade 3,Full time,UK,Projects,4,59112,5215,1182,Alex.Foster@realco.com,AF201240C,,,1,31/08/2011,04/12/2011,N,Manchester,Agency,,7200,Performance,,GBP,2000,0,9000,0,5.9,6,7,,175,,,,64327,3182,8942,76451,7121,58.56,0.26,6.44,node.links.from.budget,0,,NaN,,,,06/10/2012,7.375,5
John Foster,511,961,male,22/03/1964,Delivery Grade 1,Full time,UK,Projects,2,29929,0,599,John.Foster@realco.com,IF693590C,,,1,28/01/2007,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,4.7,6.18,10,,640,,,,29929,1349,4160,35438,3703,22.45,5.73,42.55,node.links.from.budget,0,,NaN,,,,10/01/2011,5.875,8
Tyler White,711,961,male,23/06/1961,Delivery Grade 1,Full time,UK,Projects,2,25855,0,517,Tyler.White@realco.com,HA235287C,,,1,26/10/2010,,Y,Manchester,Advert,,500,,,GBP,500,0,9000,0,5.5,7.21,6,Sickness,24,,,,25855,1017,3594,30466,3289,19.16,1.98,45.84,node.links.from.budget,0,Other,NaN,,,,12/02/2012,6.875,2
Eloise Little,986,136,female,30/04/1983,Delivery Grade 2,Full time,UK,Projects,3,40199,2533,804,Eloise.Little@realco.com,CA621538E,,,1,20/07/2011,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,6,6.34,7,,175,,,Yes,42733,1804,5940,50476,4956,38.08,1.25,26.92,node.links.from.budget,4,,6.775,5.7,3,,20/07/2011,4.5,5
Jerry Runyon,636,986,male,15/02/1984,Delivery Grade 1,Full time,UK,Projects,2,33574,0,671,Jerry.Runyon@realco.com,HF528025A,,,1,02/12/2009,,Y,Manchester,Agency,,7800,,,GBP,750,0,9000,0,6.7,7.37,7,,112,,,,33574,1421,4667,39662,4055,26.78,2.88,38.22,node.links.from.budget,0,,NaN,,,,12/04/2012,6.7,4
William Gibson,661,986,male,26/01/1986,Delivery Grade 1,Full time,UK,Projects,2,32926,0,659,William.Gibson@realco.com,FA299626C,,,1,14/06/2007,,Y,Manchester,Internal,0,0,,,GBP,1000,0,9000,0,6.7,7.05,6,,24,,,,32926,1659,4577,39162,4013,30.52,5.35,34.48,node.links.from.budget,0,,NaN,,,,10/01/2011,6.7,2
Megan O'Donnell,686,986,female,21/01/1963,Delivery Grade 1,Full time,UK,Projects,2,33606,0,672,Megan.O'Donnell@realco.com,EC442725A,,,1,25/12/2009,,Y,Manchester,Advert,,500,,,GBP,750,0,11061.33,0,4.4,6.41,8,,200,,,,33606,1422,4671,39699,4230,28.35,2.82,36.65,node.links.from.budget,0,,NaN,,,,10/01/2011,4.4,5
Justin Miller,736,986,male,09/04/1958,Delivery Grade 1,Full time,UK,Projects,2,25831,0,517,Justin.Miller@realco.com,JC78884C,,,1,15/07/2012,,Y,Manchester,Agency,,8550,,,GBP,750,0,9842.94,0,6.4,6.27,7,,63,,,,25831,1267,3591,30688,3378,27.26,0.26,37.74,node.links.from.budget,0,,NaN,,,,15/07/2012,6.4,3
Miguel McMahon,1011,136,male,26/01/1956,Delivery Grade 3,Full time,UK,Projects,4,61310,5508,1226,Miguel.McMahon@realco.com,CE36266B,,,1,10/11/2008,,Y,Manchester,Agency,,9150,,,GBP,2000,0,9000,0,6.3,5.96,7,,112,,,,66818,3226,9288,79332,7361,56.61,3.94,8.4,node.links.from.budget,0,,NaN,,,,01/03/2011,6.3,4
Nathan Nolan,110,102,male,02/06/1954,Programme Manager,Full time,UK,Projects,6,109473,20489,5474,Nathan.Nolan@realco.com,GE397757C,,,1,01/05/2007,,Y,Manchester,Internal,,0,,,GBP,1500,1000,15000,0,4.2,5.79,9,,225,,,No,129962,7974,18065,156000,14250,42.1,5.47,22.9,node.links.from.budget,2,,6.835,7.6,5,,06/07/2011,3.78,5
Isaac Stanley,119,110,male,27/07/1954,Project Manager,Full time,UK,Projects,5,67704,6352,3385,Isaac.Stanley@realco.com,JC51886G,,,1,08/08/2011,,Y,Manchester,Advert,,500,,,GBP,1500,500,18000,0,9.3,7.85,6,Sickness,150,,,Yes,74056,5385,10294,89735,8978,41.28,1.2,23.72,node.links.from.budget,4,Back pain,5.9675,5.8,5,,08/08/2011,9.3,5
Michelle Sherrod,794,119,female,11/12/1985,Delivery Grade 4,Full time,UK,Projects,4,68890,9445,2067,Michelle.Sherrod@realco.com,CG97688D,,,1,16/07/2012,,Y,Manchester,Internal,0,0,,,GBP,1500,0,9000,0,1.1,5.03,5,,5,,,No,78336,3567,10889,92791,8483,45.33,0.26,19.67,node.links.from.budget,9,,6.631111111,5.4,1,,16/07/2012,2,1
